it ant_count alpha_ant beta_ant greedy random standard rank elit pso,,,,,,,,alpha=0.4,alpha=.55,alpha=1,bta=0.4,beta=0.85,beta=1,antcount=50,antcount=100,antcount=150,antcount=200
50,100,0.55,1,,,510.3619557,,FALSE,510.3619557,FALSE,FALSE,FALSE,510.3619557,FALSE,510.3619557,FALSE,FALSE
50,100,0.55,1,,,510.3619557,,FALSE,510.3619557,FALSE,FALSE,FALSE,510.3619557,FALSE,510.3619557,FALSE,FALSE
50,100,1,0.4,,,568.980877,,FALSE,FALSE,568.980877,568.980877,FALSE,FALSE,FALSE,568.980877,FALSE,FALSE
50,100,1,0.4,,,568.980877,,FALSE,FALSE,568.980877,568.980877,FALSE,FALSE,FALSE,568.980877,FALSE,FALSE
50,100,1,0.4,,,568.980877,,FALSE,FALSE,568.980877,568.980877,FALSE,FALSE,FALSE,568.980877,FALSE,FALSE
50,100,1,0.85,,,504.9315203,,FALSE,FALSE,504.9315203,FALSE,504.9315203,FALSE,FALSE,504.9315203,FALSE,FALSE
50,100,1,0.85,,,504.9315203,,FALSE,FALSE,504.9315203,FALSE,504.9315203,FALSE,FALSE,504.9315203,FALSE,FALSE
50,100,1,0.85,,,504.9315203,,FALSE,FALSE,504.9315203,FALSE,504.9315203,FALSE,FALSE,504.9315203,FALSE,FALSE
50,100,1,1,,,510.3619557,,FALSE,FALSE,510.3619557,FALSE,FALSE,510.3619557,FALSE,510.3619557,FALSE,FALSE
50,100,1,1,,,510.3619557,,FALSE,FALSE,510.3619557,FALSE,FALSE,510.3619557,FALSE,510.3619557,FALSE,FALSE
50,100,1,1,,,510.3619557,,FALSE,FALSE,510.3619557,FALSE,FALSE,510.3619557,FALSE,510.3619557,FALSE,FALSE
50,150,0.4,0.4,,,568.980877,,568.980877,FALSE,FALSE,568.980877,FALSE,FALSE,FALSE,FALSE,568.980877,FALSE
50,150,0.4,0.4,,,568.980877,,568.980877,FALSE,FALSE,568.980877,FALSE,FALSE,FALSE,FALSE,568.980877,FALSE
50,150,0.4,0.4,,,568.980877,,568.980877,FALSE,FALSE,568.980877,FALSE,FALSE,FALSE,FALSE,568.980877,FALSE
50,150,0.4,0.85,,,528.656108,,528.656108,FALSE,FALSE,FALSE,528.656108,FALSE,FALSE,FALSE,528.656108,FALSE
50,150,0.4,0.85,,,528.656108,,528.656108,FALSE,FALSE,FALSE,528.656108,FALSE,FALSE,FALSE,528.656108,FALSE
50,150,0.4,0.85,,,529.7271969,,529.7271969,FALSE,FALSE,FALSE,529.7271969,FALSE,FALSE,FALSE,529.7271969,FALSE
50,150,0.4,1,,,472.4298643,,472.4298643,FALSE,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE
50,150,0.4,1,,,472.4298643,,472.4298643,FALSE,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE
50,150,0.4,1,,,472.4298643,,472.4298643,FALSE,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE
50,150,0.55,0.4,,,568.980877,,FALSE,568.980877,FALSE,568.980877,FALSE,FALSE,FALSE,FALSE,568.980877,FALSE
50,150,0.55,0.4,,,568.980877,,FALSE,568.980877,FALSE,568.980877,FALSE,FALSE,FALSE,FALSE,568.980877,FALSE
50,150,0.55,0.4,,,568.980877,,FALSE,568.980877,FALSE,568.980877,FALSE,FALSE,FALSE,FALSE,568.980877,FALSE
50,150,0.55,0.85,,,504.9315203,,FALSE,504.9315203,FALSE,FALSE,504.9315203,FALSE,FALSE,FALSE,504.9315203,FALSE
50,150,0.55,0.85,,,504.9315203,,FALSE,504.9315203,FALSE,FALSE,504.9315203,FALSE,FALSE,FALSE,504.9315203,FALSE
50,150,0.55,0.85,,,504.9315203,,FALSE,504.9315203,FALSE,FALSE,504.9315203,FALSE,FALSE,FALSE,504.9315203,FALSE
50,150,0.55,1,,,472.4298643,,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE
50,150,0.55,1,,,472.4298643,,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE
50,150,0.55,1,,,472.4298643,,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE
50,150,1,0.4,,,568.980877,,FALSE,FALSE,568.980877,568.980877,FALSE,FALSE,FALSE,FALSE,568.980877,FALSE
